index,answer,t0,t1,webm_url,video_id
0,save a design in Photoshop format or PSD,32.96,48.78,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
1,maximize compatibility,49.299999,60.72,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
2,save a file in PDF format,76.27,102.92,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
3,export a file for online use,125.9,138.57,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
4,save a file as a JPG,125.9,181.309999,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
5,save a file as a PNG,125.9,181.309999,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
6,save a file as a GIF,125.9,181.309999,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
7,save a file as a SVG,125.9,181.309999,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
8,export a layer,186.45,202.41,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/c1272e00-cd83-44eb-9ccb-912dc6bb7aab/3f1d31a6-9eda-408e-9251-0bedef7ab4ea_20151215092907.1280x720at2400_vp8.webm,14643
9,add text to an image,14.11,33.109999,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/f6b977a9-255e-42f9-a486-836e37ce01ad/3c039784-9ab4-4e23-8e76-ddd943ad07f7_20151215080727.1280x720at2400_vp8.webm,14644
10,edit how the text looks,48.69,70.25,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/f6b977a9-255e-42f9-a486-836e37ce01ad/3c039784-9ab4-4e23-8e76-ddd943ad07f7_20151215080727.1280x720at2400_vp8.webm,14644
11,use typekit fonts,77.76,140.32,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/f6b977a9-255e-42f9-a486-836e37ce01ad/3c039784-9ab4-4e23-8e76-ddd943ad07f7_20151215080727.1280x720at2400_vp8.webm,14644
12,add effects to text,212.009999,249.01,https://images-tv.adobe.com/avp/vr/ebed59ee-4453-4fbb-b9a9-e3f690f4772f/f6b977a9-255e-42f9-a486-836e37ce01ad/3c039784-9ab4-4e23-8e76-ddd943ad07f7_20151215080727.1280x720at2400_vp8.webm,14644
13,start a project with an existing image,30.52,41.22,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
14,add a layer,64.82,82.44,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
15,fill a selected area,91.53,139.44,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
16,blend a layer,162.24,177.689999,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
17,add a layer from an image,181.28,215.84,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
18,place layer behind another layer,250.51,274.35,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/d4e51324-aeff-4c10-ab64-1186ce2cbd03/651f290f-9f11-42bb-b530-ca5a828b8984_20151214020210.1280x720at2400_vp8.webm,14645
19,vector graphics,9.46,20.34,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
20,create a vector graphic,23.49,50.13,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
21,add a new vector graphic to design,51.02,63.73,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
22,change color of vector graphic,64.38,78.94,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
23,edit vector graphic,84.23,97.96,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
24,change size of vector graphic,99.05,121.67,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
25,duplicate vector graphic,122.53,135.32,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
26,add a pr-existing vector graphic,146.1,179.469999,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
